county,pop
Alachua,1118.3
Baker,491
Bay,990.4
Bradford,698.9
Brevard,791.5
Broward,1150.8
Calhoun,1076.3
Charlotte,978.5
Citrus,1179.7
Clay,973.7
Collier,590.8
Columbia,791.2
Miami-Dade,1133.3
DeSoto,448.2
Dixie,844.6
Duval,1060.6
Escambia,1488.2
Flagler,695.9
Franklin,553.2
Gadsden,851.9
Gilchrist,667.7
Glades,119.6
Gulf,613.6
Hamilton,480.8
Hardee,355.7
Hendry,449.1
Hernando,1446.9
Highlands,755.8
Hillsborough,667.8
Holmes,982.8
Indian River,1282
Jackson,585.4
Jefferson,779.2
Lake,853.6
Lee,625.1
Leon,844.1
Levy,832.1
Liberty,384.1
Madison,665.8
Manatee,1007.5
Marion,1018.4
Martin,694.3
Monroe,679.8
Nassau,655.9
Okaloosa,1110.4
Okeechobee,535.2
Orange,955.4
Osceola,781.7
Palm Beach,1040.2
Pasco,1288.9
Pinellas,1279.3
Polk,989
Putnam,951.6
St. Johns,798.6
St. Lucie,978
Santa Rosa,1040.3
Sarasota,763
Seminole,946.3
Sumter,748.5
Suwannee,530.9
Taylor,554.3
Union,656.9
Volusia,939.4
Wakulla,812.9
Walton,799.3
Washington,606
