place,longitude,latitude
Miami,-80.1918,25.7617
Tampa,-82.4572,27.9506
Orlando,-81.3792,28.5383
Jacksonville,-81.6557,30.3322
Bradenton,-82.5748,27.4989
Fort Myers,-81.8723,26.6406
Melbourne,-80.6081,28.0836
Port St. Lucie,-80.3582,27.273
Daytona Beach,-81.0228,29.2108
Pensacola,-87.2169,30.4213
Kissimmee,-81.4076,28.292
Bonita Springs,-81.7787,26.3398
Lakeland,-81.9498,28.0395
Tallahassee,-84.2807,30.4383
Winter Haven,-81.7329,28.0222
Fort Walton Beach,-86.617,30.4201
Gainesville,-82.3248,29.6516
Deltona,-81.2637,28.9005
Port Charlotte,-82.0906,26.9762
Ocala,-82.1401,29.1872
